prompt_id,method,scale_alpha,file,total_tokens,code_tokens,word_count,code_lines,pass_5_lines,pass_8_lines,pass_10_lines,pass_12_lines,pass_15_lines,syntax_valid
6,No steering,0.0,outputs/generations/compare_gemma_max/prompt_06_no_steering.txt,75,75,13,31,False,False,False,False,False,False
7,Additive vector,0.25,outputs/generations/compare_gemma_max/prompt_07_additive_scale025.txt,71,71,9,31,False,False,False,False,False,False
7,Additive vector,0.5,outputs/generations/compare_gemma_max/prompt_07_additive_scale05.txt,71,71,9,31,False,False,False,False,False,False
7,Additive vector,1.0,outputs/generations/compare_gemma_max/prompt_07_additive_scale10.txt,71,71,9,31,False,False,False,False,False,False
7,Additive vector,2.0,outputs/generations/compare_gemma_max/prompt_07_additive_scale20.txt,71,71,9,31,False,False,False,False,False,False
7,Multiplicative matrix,0.25,outputs/generations/compare_gemma_max/prompt_07_matrix_alpha025.txt,71,71,9,31,False,False,False,False,False,False
7,Multiplicative matrix,0.5,outputs/generations/compare_gemma_max/prompt_07_matrix_alpha05.txt,71,71,9,31,False,False,False,False,False,False
7,Multiplicative matrix,1.0,outputs/generations/compare_gemma_max/prompt_07_matrix_alpha10.txt,71,71,9,31,False,False,False,False,False,False
7,Multiplicative matrix,2.0,outputs/generations/compare_gemma_max/prompt_07_matrix_alpha20.txt,71,1,9,0,True,True,True,True,True,True
7,No steering,0.0,outputs/generations/compare_gemma_max/prompt_07_no_steering.txt,71,71,9,31,False,False,False,False,False,False
8,Additive vector,0.25,outputs/generations/compare_gemma_max/prompt_08_additive_scale025.txt,72,72,10,31,False,False,False,False,False,False
8,Additive vector,0.5,outputs/generations/compare_gemma_max/prompt_08_additive_scale05.txt,72,72,10,31,False,False,False,False,False,False
8,Additive vector,1.0,outputs/generations/compare_gemma_max/prompt_08_additive_scale10.txt,72,72,10,31,False,False,False,False,False,False
8,Additive vector,2.0,outputs/generations/compare_gemma_max/prompt_08_additive_scale20.txt,72,72,10,31,False,False,False,False,False,False
8,Multiplicative matrix,0.25,outputs/generations/compare_gemma_max/prompt_08_matrix_alpha025.txt,72,72,10,31,False,False,False,False,False,False
8,Multiplicative matrix,0.5,outputs/generations/compare_gemma_max/prompt_08_matrix_alpha05.txt,72,24,43,2,True,True,True,True,True,True
8,Multiplicative matrix,1.0,outputs/generations/compare_gemma_max/prompt_08_matrix_alpha10.txt,72,72,40,1,True,True,True,True,True,False
8,Multiplicative matrix,2.0,outputs/generations/compare_gemma_max/prompt_08_matrix_alpha20.txt,72,1,10,0,True,True,True,True,True,True
8,No steering,0.0,outputs/generations/compare_gemma_max/prompt_08_no_steering.txt,72,72,10,31,False,False,False,False,False,False
9,Additive vector,0.25,outputs/generations/compare_gemma_max/prompt_09_additive_scale025.txt,72,19,34,2,True,True,True,True,True,True
9,Additive vector,0.5,outputs/generations/compare_gemma_max/prompt_09_additive_scale05.txt,72,19,34,2,True,True,True,True,True,True
9,Additive vector,1.0,outputs/generations/compare_gemma_max/prompt_09_additive_scale10.txt,72,19,34,2,True,True,True,True,True,True
